Classe,Précision,Rappel,F1-Score,Support
Orange___Haunglongbing_(Citrus_greening),0.996039603960396,1.0,0.998015873015873,503
Squash___Powdery_mildew,1.0,0.9953917050691244,0.9976905311778291,434
Corn_(maize)___Common_rust_,0.99581589958159,0.9979035639412998,0.9968586387434555,477
Corn_(maize)___healthy,0.9978401727861771,0.9935483870967742,0.9956896551724138,465
Strawberry___Leaf_scorch,0.9954954954954955,0.9954954954954955,0.9954954954954955,444
Cherry_(including_sour)___Powdery_mildew,0.995249406175772,0.995249406175772,0.995249406175772,421
Grape___healthy,0.9929245283018868,0.9952718676122931,0.9940968122786304,423
Cherry_(including_sour)___healthy,0.9955947136563876,0.9912280701754386,0.9934065934065934,456
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9767441860465116,0.9882352941176471,430
Peach___healthy,0.9772727272727273,0.9953703703703703,0.9862385321100917,432
Apple___Cedar_apple_rust,0.9908045977011494,0.9795454545454545,0.9851428571428571,440
Apple___Black_rot,0.9706457925636007,0.9979879275653923,0.9841269841269841,497
Blueberry___healthy,0.9740820734341252,0.9933920704845814,0.9836423118865867,454
Potato___Early_blight,0.9895615866388309,0.977319587628866,0.983402489626556,485
Peach___Bacterial_spot,0.9846491228070176,0.9782135076252724,0.9814207650273225,459
Strawberry___healthy,0.967948717948718,0.993421052631579,0.9805194805194806,456
Soybean___healthy,0.9918533604887984,0.9643564356435643,0.9779116465863453,505
Grape___Esca_(Black_Measles),0.9711340206185567,0.98125,0.9761658031088083,480
Grape___Black_rot,0.9807280513918629,0.9703389830508474,0.9755058572949947,472
Raspberry___healthy,1.0,0.9483146067415731,0.9734717416378316,445
Apple___healthy,0.9645669291338582,0.9760956175298805,0.9702970297029703,502
"Pepper,_bell___Bacterial_spot",0.9745762711864406,0.9623430962343096,0.968421052631579,478
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9893390191897654,0.9469387755102041,0.9676746611053181,490
Potato___healthy,0.9863013698630136,0.9473684210526315,0.9664429530201343,456
Potato___Late_blight,0.9536290322580645,0.9752577319587629,0.9643221202854231,485
"Pepper,_bell___healthy",0.9245283018867925,0.9859154929577465,0.9542356377799416,497
Apple___Apple_scab,0.9851063829787234,0.9186507936507936,0.9507186858316222,504
Corn_(maize)___Northern_Leaf_Blight,0.9089108910891089,0.9622641509433962,0.9348268839103869,477
Tomato___Tomato_mosaic_virus,0.9778325123152709,0.8861607142857143,0.9297423887587822,448
Tomato___Bacterial_spot,0.930622009569378,0.9152941176470588,0.9228944246737841,425
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9578947368421052,0.8878048780487805,0.9215189873417722,410
Tomato___Leaf_Mold,0.8560460652591171,0.948936170212766,0.900100908173562,470
Tomato___Late_blight,0.8330058939096268,0.9157667386609071,0.8724279835390947,463
Tomato___Spider_mites Two-spotted_spider_mite,0.8183673469387756,0.9218390804597701,0.867027027027027,435
Tomato___healthy,0.9715025906735751,0.7796257796257796,0.8650519031141869,481
Tomato___Early_blight,0.9181585677749361,0.7479166666666667,0.8243398392652124,480
Tomato___Septoria_leaf_spot,0.8141176470588235,0.7935779816513762,0.8037166085946573,436
Tomato___Target_Spot,0.6833333333333333,0.8971553610503282,0.7757805108798487,457
